nom_hatvp;nom_developpe;accronyme;variation;
TMA;TMA;;Transdev du Marsan;
ASSOCIATION FRANCAISE DU RAIL;ASSOCIATION FRANCAISE DU RAIL;AFRA;;
LHYFE;LHYFE;;;
JEUNES AGRICULTEURS AUVERGNE RHONE ALPES;JEUNES AGRICULTEURS AUVERGNE RHONE ALPES;JA Auvergne-Rhône-Alpes;;
ASS FEDERATION NATIONALE DES CENTRES-VILLES COMMERCES ET SERVICES;ASSOCIATION FEDERATION NATIONALE DES CENTRES-VILLES COMMERCES ET SERVICES;FNCV;Les Vitrines de France; Fédération Nationale des Centres-Villes;
COMITE PROFESSIONNEL DE DEVELOPPEMENT DES INSDUSTRIES FRANCAISES DE L AMEUBLEMENT ET DU BOIS;COMITE PROFESSIONNEL DE DEVELOPPEMENT DES INSDUSTRIES FRANCAISES DE L AMEUBLEMENT ET DU BOIS;Codifab;;
MOBILE MARKETING FRANCE;MOBILE MARKETING FRANCE;;;
ALAN;ALAN;;;
FEDER NAT SOC INTERET COLLEC AGRIC ELECT;Fédération Nationale des Sociétés d'Intérêt Collectif Agricole d'Electricité;FNSICAE;;
LAMINES MARCHANDS EUROPEENS;LAMINES MARCHANDS EUROPEENS;lme;;
FEDERATION FRANCAISE FOOTBALL - FFF;FEDERATION FRANCAISE DE FOOTBALL;FFF;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION NORMANDIE;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION NORMANDIE;CMA Normandie;;
VYV 3;VYV 3;;"VYV Care; Groupe VYV ";
NEMAUSYS;NEMAUSYS;;;
MOUVEMENT FR PLANNING FAMILIAL;MOUVEMENT FRANCAIS LE PLANNING FAMILIAL;;Le Planning Familial;
GORILLAS TECHNOLOGIES FRANCE;GORILLAS TECHNOLOGIES FRANCE;;;
MEDTECH IN FRANCE;MEDTECH IN FRANCE;;association MedTech in France;
AMNESTY INTERNATIONAL - GROUPE N°64 DE NANTES CENTRE;AMNESTY INTERNATIONAL - GROUPE N°64 DE NANTES CENTRE;;Amnesty International Nantes centre;AMNESTY INTERNATIONAL Groupe local Nantes Centre;
HERMIONE PEOPLE & BRANDS;HERMIONE PEOPLE & BRANDS;HPB;;
AMYNOS;AMYNOS;;;
TOURNONS LA PAGE (TLP);TOURNONS LA PAGE;TLP;;
LA QUADRATURE DU NET;LA QUADRATURE DU NET;LQDN;;
SYNDICAT NATIONAL DES FORMULATEURS DE RESINES SYNTHETIQUES;SYNDICAT NATIONAL DES FORMULATEURS DE RESINES SYNTHETIQUES;;;
FEDERATION NATIONALE DE LA PROPRIETE PRIVEE RURALE;FEDERATION NATIONALE DE LA PROPRIETE PRIVEE RURALE;PPR;
FONDATION DU PATRIMOINE;FONDATION DU PATRIMOINE;;;
DEMKO MICHEL;DEMKO MICHEL;;;
LSF ENERGIE;LSF ENERGIE;;;
ALIBABA(FRANCE);ALIBABA FRANCE;;Alibaba;
ELKEM SILICONES FRANCE SAS;ELKEM SILICONES FRANCE SAS;;Elkem Silicones;
EQUALOGY;EQUALOGY;;;
REFORM PARIS;REFORM PARIS;;;
TIKTOK;TIKTOK;;;
MIRAKL;MIRAKL;;;
NAAREA;Nano Abundant Affordable Resourceful Energy for All;NAAREA;;
BTA PLAIDOYER;BTA PLAIDOYER;;;
DOMUSVI;DOMUSVI;;;
HELLIO SOLUTIONS;HELLIO SOLUTIONS;;Hellio;
